Title,Salary,Location,Employment Type
Customer Support Representative (English),Yellow Stone,Дистанційно,Повна зайнятість
Lead Generation Manager,Softsich,Дистанційно,Повна зайнятість
"Бізнес-аналітик (HR, Payroll)",Ajax Systems,Київ,Повна зайнятість
Менеджер із закупівель,"Абкоммунікейшен, ТОВ",Київ,Повна зайнятість
Customer Support Manager (Spanish),EvoPlay,Дистанційно,Повна зайнятість
Customer Support Agent (Italian),EvoPlay,Дистанційно,Повна зайнятість
Customer Support Agent (English),EvoPlay,Дистанційно,Повна зайнятість
Financial Control Manager,EvoPlay,Київ,Повна зайнятість
Creative manager,EvoPlay,Київ,Повна зайнятість
"Пакувальник на склад (брендовий одяг, Куренівка)",23 000 – 26 450 грн,Київ,Повна зайнятість
Менеджер з продажу (ІТ),"Абкоммунікейшен, ТОВ",Київ,Повна зайнятість
Системний адміністратор,"Абкоммунікейшен, ТОВ",Київ,Повна зайнятість
Cyber security specialist,"Абкоммунікейшен, ТОВ",Київ,Повна зайнятість
Bonus Manager,Softsich,Дистанційно,Повна зайнятість
Програміст мікроконтролерів,60 000 – 120 000 грн,Київ,Повна зайнятість
Інженер-метролог з випробувань і надійності,Ektos,Івано-Франківськ,Повна зайнятість
Електронщик,Ektos,Івано-Франківськ,Повна зайнятість
Менеджер з продажу у IT-компанію (теплі заявки),20 000 – 45 000 грн,Івано-Франківськ,Повна зайнятість
Middle PHP Developer (Symfony),BSX,Дистанційно,Повна зайнятість
Facebook Community Manager,Snovio,Дистанційно,Повна зайнятість
Системний адміністратор,"Інфотех, ДП",Київ,Повна зайнятість
Customer Service manager (English),M2E,Дистанційно,Повна зайнятість
Аналітик,Miracle Entertainment B. V.,Кременчук,Повна зайнятість
Інженер інформаційно-комунікаційних систем,"Інфотех, ДП",Київ,Повна зайнятість
Junior SEO Specialist,EvoPlay,Київ,Повна зайнятість
SEO Specialist,EvoPlay,Київ,Повна зайнятість
"Менеджер з продзвону клієнтів, оператор (B2B, продажі)",30 000 – 65 000 грн,Дистанційно,"Повна зайнятість, неповна зайнятість"
"Акаунт-консультант по роботі з клієнтами (Client service, ID 230)",Helsi,Київ,Повна зайнятість
Оператор call-центру,Treeum,Дистанційно,Повна зайнятість
Middle UI/UX Designer,Nix,Полтава,Повна зайнятість
Асистент керівника,ПК-Сервіс,Дніпро,Повна зайнятість
Технік-монтажник мережі інтернет,ІнтегралСервісПлюс,Львів,Повна зайнятість
