Title,Salary,Location,Employment Type
SOC engineer,Fin Plus Plus LLC,Дистанційно,Повна зайнятість
QA-тестувальник сайтів,Validev,Дистанційно,Повна зайнятість
Таргетолог (freelance),Soft Industry,Дистанційно,Неповна зайнятість
Консультант із впровадження ERP-систем,IT-Enterprise,Київ,Повна зайнятість
Marketing Manager,Maestro Ticket System (Kontramarka Україна),Дистанційно,Повна зайнятість
Customer Support Representative (English),"Хекса, ТОВ",Дистанційно,Повна зайнятість
Corporate Travel Manager,Bakotech,Київ,Повна зайнятість
Middle Manual QA Engineer (Back-end),Ajax Systems,Київ,Повна зайнятість
System Product Definition Engineer (Fixed-Term Contract),Renesas Electronics,Львів,"Повна зайнятість, неповна зайнятість"
IOS Developer,49 000 – 66 000 грн,Київ,Повна зайнятість
Account manager,SmartTender,Дистанційно,Повна зайнятість
Адміністратор закладу освіти,22 000 грн,Одеса,Повна зайнятість
Junior iOS Developer,33 000 – 53 000 грн,Київ,Повна зайнятість
PR Manager,SmartTender,Дистанційно,Повна зайнятість
Аналітик,CRM Genesis,Дистанційно,Повна зайнятість
Content creator,20 000 – 40 000 грн,Дніпро,Повна зайнятість
Junior Linux Administration/DevOps Engineer,Nix,Полтава,Повна зайнятість
SEO-спеціаліст,40 000 – 60 000 грн,Дистанційно,Повна зайнятість
"Товарознавець, менеджер із закупівель (HoReCa)",30 000 грн,Київ,Повна зайнятість
Sales manager (B2B),SmartTender,Дистанційно,Повна зайнятість
Junior Manual QA Engineer (Back-end),Ajax Systems,Київ,Повна зайнятість
Менеджер з продажів послуг бізнес-клієнтам OLX,OLX,Київ,Повна зайнятість
Intern Marketing Specialist,HYS Enterprise,Дистанційно,Повна зайнятість
HR Administrator (Fixed-Term Contract),Renesas Electronics,Львів,Повна зайнятість
"Sales manager (B2B, IT)",50 000 – 100 000 грн,Дистанційно,Повна зайнятість
Інженер-конструктор електроніки (машинобудування),Techiia Holding,Київ,Повна зайнятість
Технічний письменник,CS,Дистанційно,Повна зайнятість
Графічний дизайнер,20 000 – 25 000 грн,Київ,Повна зайнятість
Бухгалтер,Опус Авто,Хмельницький,Повна зайнятість
"Офіс-менеджер, працівник по роботі з клієнтами",20 000 – 22 000 грн,Тернопіль,Повна зайнятість
Middle Salesforce Administrator,Nix,Дистанційно,Повна зайнятість
Strong Middle Java Developer,"Comparus UA (Компарус.ЮА, ТОВ)",Дніпро,Повна зайнятість
Менеджер з продажу,35 000 – 50 000 грн,Луцьк,Повна зайнятість
Graphic & Web Designer (Genesis Education),"Genesis, ІТ-компанія",Київ,Повна зайнятість
Serviсe Desk Engineer (ID 238),Helsi,Дистанційно,Повна зайнятість
Shopify Middle Full Stack Web Developer,35 000 – 47 000 грн,Дистанційно,Повна зайнятість
VIP customer support manager,80 000 – 160 000 грн,Дистанційно,Повна зайнятість
